task_id,input_path,readable,width,height,channels,brightness,contrast,sharpness,edge_density,blurry,too_dark,too_bright,low_contrast,low_texture,cost_ms
0,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo01.jpg,1,2048,1362,3,117.676,91.7759,733.254,0.0923034,0,0,0,0,0,24
1,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo02.jpg,1,2047,1362,3,117.777,72.2305,269.446,0.0686962,0,0,0,0,0,37
2,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo03.jpg,1,1990,1295,3,103.668,46.3367,138.245,0.0561491,0,0,0,0,0,22
3,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo04.jpg,1,1600,1041,3,64.8807,57.1427,582.853,0.0861443,0,0,0,0,0,15
4,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo05.jpg,1,2048,1332,3,225.041,54.7872,2229.14,0.0357926,0,0,1,0,0,18
5,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo06.jpg,1,2048,1362,3,90.858,88.5587,4292.56,0.136122,0,0,0,0,0,44
6,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo07.jpg,1,2252,1498,3,143.843,58.9906,146.058,0.0431612,0,0,0,0,0,46
7,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo08.jpg,1,640,425,3,90.3849,66.8898,3015.06,0.240408,0,0,0,0,0,1
8,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo09.jpg,1,2236,1487,3,126.599,55.849,164.347,0.0531803,0,0,0,0,0,47
9,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo10.jpg,1,2048,1332,3,125.135,76.2137,736.393,0.100925,0,0,0,0,0,12
10,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo11.jpg,1,1978,1287,3,137.084,63.9816,56.3777,0.0153173,1,0,0,0,0,8
11,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo12.jpg,1,2252,1465,3,91.3303,41.8148,15.1934,0.00933838,1,0,0,0,1,19
12,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo13.jpg,1,2048,1332,3,98.4559,47.3032,512.806,0.0566747,0,0,0,0,0,11
13,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo14.jpg,1,2048,1332,3,118.833,54.3618,832.373,0.175051,0,0,0,0,0,33
14,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo15.jpg,1,2048,1362,3,120.57,58.7867,2697.65,0.155709,0,0,0,0,0,21
15,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo16.jpg,1,2048,1332,3,94.7469,63.2063,1074.89,0.0484942,0,0,0,0,0,9
16,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo17.jpg,1,2236,1455,3,111.966,9.8569,1.94308,0,1,0,0,1,1,21
17,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo18.jpg,1,1600,1041,3,151.496,25.2198,136.1,0.0279125,0,0,0,0,0,6
18,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo19.jpg,1,2280,1483,3,159.419,40.0962,860.222,0.243994,0,0,0,0,0,14
19,/home/wzq/MyProject/realtime_image_service/Depth-Anything-V2-main/assets/examples/demo20.jpg,1,2000,1301,3,126.896,41.1595,226.721,0.0658809,0,0,0,0,0,10
